reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
cf89dd96-c9b3-4164-b822-46b0e3153a80,Tanjiro Kamado,https://play-lh.googleusercontent.com/a/ACg8ocI0hhijtAef-YkaMF-WJZcJfGn1TaXqQlDBa4JLKnIMjC-I-g=mo,Gamenya bagus,5,0,3.7.0,2025-11-30 22:11:01,,,3.7.0
4a3e78f6-add5-4ba1-b3ef-c1950c637e68,Chihirou Elia,https://play-lh.googleusercontent.com/a-/ALV-UjVocWwL3eS4DUmN4jqa3Ez3Syt4VEZYMsP_HXSeUh9DpfGYXUQX,low pity pull,5,0,3.7.0,2025-11-30 17:18:54,,,3.7.0
a833d043-1307-4b7f-908c-6388c5afd7e3,Puckcoypukca,https://play-lh.googleusercontent.com/a/ACg8ocKsv-mm3vnEkObqAjR5rqbQ9pY6KZ0VePEdv6ixwjJMghL0Nw=mo,"amphoreus sangat melelahkan, kalian tidak sedang menulis cerita, sejak orang orang itu datang menjadi sangat manipulatif, capitalism! Give back the tears I shed for love for my jarilo!",2,0,,2025-11-30 16:18:42,,,
cc129dda-7f2e-4a4c-b815-a8ea977d2f32,Jengkol loverss,https://play-lh.googleusercontent.com/a-/ALV-UjUwVzMSEJyTdDRRrwfiZiO9VFJ3LwIY-6gXXJjSdIJ5LV4hF8E,sayangnya seru banget➷♡➹,5,0,3.7.0,2025-11-30 16:18:29,,,3.7.0
7c4ce399-1e4b-43ed-a06c-2e4727753f28,Faniya Salsabillah,https://play-lh.googleusercontent.com/a-/ALV-UjW6itHPY0nwiL313o3pJ-h8PCmdcsfsnKAno7U28aGtN099boMV,klo dpt mydei sama lcnya nanti kukasih 5★ ☺️,5,0,3.7.0,2025-11-30 12:51:51,,,3.7.0
5efa2177-a7a5-4b7d-b75d-fc236f9aca84,Kenzie Ga,https://play-lh.googleusercontent.com/a-/ALV-UjX24wtwsqU9iTi8BJwhQAG-9iOQtcPq7vmCrGmuilRZpSHh22V9,"char cowonya dikit + penyakit gila hp inflation, be carefull because there is crazy hp inflation that make you cant using the old character",1,0,1.4.0,2025-11-30 10:54:43,"Thank you for your constant support of Honkai: Star Rail. We welcome any valuable input from you. If you have any comments or suggestions you would like to share, please feel free to contact our Customer Service team via the in-game feedback channel or email to help us improve the game.",2025-12-02 11:40:49,1.4.0
e2108f9c-e4c0-4dfb-a06d-3fce63896fae,M Frizzqho Alfatih Azhari,https://play-lh.googleusercontent.com/a-/ALV-UjUpRU7qJYOmPmh2WmWom77ma3GUcBDIIx7-vVfuP4zKKkuCzwQ,bagus,5,0,,2025-11-30 09:39:52,,,
fe84841f-4b14-4c0e-af1d-00af62011651,Aldyy.,https://play-lh.googleusercontent.com/a-/ALV-UjUbUJXW-8LREBpjfmN1A-V2hlG3JsKjiDbrd4D-cWG06ncQlG-A,game baik,5,0,,2025-11-30 08:25:20,,,
09bf7aaf-eb9a-4ca6-8319-092420f5e55a,chikal fadil,https://play-lh.googleusercontent.com/a/ACg8ocI_amPHvkw1J5XUcbqBXhbnBdl4YVA18E1WoMSrniX2v_T3vw=mo,"terimakasih hsr maaf atas rating jelek ku kemarin, akhirnya gachanya mulai tobat, meskipun tetep butuh 80 warp tapi seenggaknya karakter yg gw incer tetep dapet🙏, gamenya bagus kok gw suka banget storynya, suka dan dukanya berasa, gw juga suka gameplay-nya meskipun kata komunitas jelek, tapi menurut gw hsr one of the best rpg gacha game in mobile",5,1,,2025-11-30 08:24:32,,,
f7dd20be-f574-4ac0-b200-1d06e09e47c5,TheTitan Puiz,https://play-lh.googleusercontent.com/a-/ALV-UjXu03ld47YhHG8U7W0IM5Nt4egOA3J30cFBt016TX-jT9orXXfE,mantaf,5,0,,2025-11-30 04:26:00,,,
697a8558-c717-40d1-a11a-ba19434c4c49,Qianzy Raqesha,https://play-lh.googleusercontent.com/a/ACg8ocJKcaaR-nfEAvUdPHLScRjtzqrRa4eawZs42WxeY_MJe3L38Q=mo,bagus tapi terlalu banyak fan service,5,0,3.7.0,2025-11-30 03:19:25,,,3.7.0
44dccbe6-58ec-4e43-8bc0-6c9f1ed8dd5b,Mel mel,https://play-lh.googleusercontent.com/a/ACg8ocLa5U_EkiJ0zRn8PElL5Tp73MflJTnM0Y8mZYTsRVJdymoQmQ=mo,"Sering lag tiba tiba dan keluar game, padahal cuma berbicara dengan npc",1,0,3.7.0,2025-11-29 23:35:42,,,3.7.0
84f7bf2d-90f0-4048-9eb7-e1f30ffa1bd7,al alzhaliq,https://play-lh.googleusercontent.com/a-/ALV-UjUBg-Q5piB1X9MKLQY4oL5KCfTNx7t_0jH-zrANz-BQUTnxSVab,I love Firefly.,5,0,,2025-11-29 18:02:00,,,
978374e1-1508-433a-8cbb-8efaa2541d6d,Cika Feb,https://play-lh.googleusercontent.com/a/ACg8ocJVAknmkeeHd7HOXfMIQIXtWDqtb-jOwtRyYPU-NuXDpLtHJg=mo,kasih diskon pembelian oneric napa min,4,0,,2025-11-29 15:59:41,,,
59e8936e-b8e2-4de5-a10f-f55402319459,Rafa 34 Yoo,https://play-lh.googleusercontent.com/a-/ALV-UjV_XQiTXsOigvhJJSFk106gCna5q9Cu_4yW1ZbGZJBSOL__qYFS,"game nya bagus banget, waifu aku clara🥰",5,0,3.7.0,2025-11-29 14:20:05,,,3.7.0
ccd1e83b-01d1-43d5-85f3-51e54d2e0565,Farhac,https://play-lh.googleusercontent.com/a-/ALV-UjU02ydMIePJULfcP9hKm6CH3kgKTdDOdvpg5GPOD4Mmn3nwAcQ,Absolute Cinema ✋😐🤚,5,0,3.7.0,2025-11-29 12:09:21,,,3.7.0
d921d393-2716-430c-bdab-f653d1444c67,ハキュメン,https://play-lh.googleusercontent.com/a/ACg8ocJbTDHcvjz0skLP28PrW50OZ5k7YZYdND5obphWxqs8fSONKMo=mo,"Dari segi gacha & gameplay menurutku sudah oke sih, hanya saja story-nya agak membosankan & di bbrp bagian seperti yg waktu bertemu dgn Anaxagoras di reruntuhan waktu entah kenapa tidak bisa di-skip. Kalo kedepannya bisa lebih baik lagi nanti mungkin saya tambahkan bintangnya.",2,0,3.7.0,2025-11-29 11:54:50,,,3.7.0
